NEW.ID_PROG;YEAR;JULIANDAY;nb_evenement;HS;DS;HEURE_MIN;HEURE_MAX;DUREE;DUREE_CONSIDEREE;VALIDE;SESSION
107;2005;212;4;;;07:20;07:35;0,25;0,25;FALSE;0
107;2006;152;8;;;06:35;12:25;5,83;5,83;TRUE;1
107;2006;169;4;;;06:18;07:14;0,93;0,93;FALSE;0
107;2006;184;6;;;06:33;11:26;4,88;4,88;TRUE;2
107;2006;211;1;;;06:49;06:49;0;0;FALSE;3
107;2007;154;2;;;07:09;11:28;4,32;4,32;FALSE;1
107;2007;175;6;;;07:45;10:36;2,85;2,85;FALSE;0
107;2007;187;21;;;06:41;13:00;6,32;6,32;TRUE;2
107;2007;196;28;;;06:24;12:17;5,88;5,88;TRUE;0
107;2007;210;34;;;06:40;13:27;6,78;6,78;TRUE;3
107;2008;153;8;;;07:00;09:31;2,52;2,52;FALSE;1
107;2008;167;7;;;06:34;10:28;3,9;3,9;FALSE;0
107;2008;181;15;;;06:30;10:00;3,5;3,5;FALSE;0
107;2008;195;11;;;07:17;11:46;4,48;4,48;TRUE;2
107;2008;213;10;;;07:39;10:59;3,33;3,33;FALSE;3
107;2009;142;5;;;08:42;10:17;1,58;1,58;FALSE;0
107;2009;158;1;;;08:08;08:08;0;0;FALSE;1
107;2009;179;2;;;07:47;08:27;0,67;0,67;FALSE;2
107;2009;196;4;;;09:12;12:46;3,57;3,57;FALSE;0
107;2009;211;8;;;07:14;11:53;4,65;4,65;TRUE;3
107;2010;164;9;;;07:13;10:50;3,62;3,62;FALSE;1
107;2010;178;3;;;08:26;10:34;2,13;2,13;FALSE;2
107;2010;195;1;;;07:18;07:18;0;0;FALSE;0
107;2010;211;8;;;07:31;12:24;4,88;4,88;TRUE;3
107;2011;155;4;;;09:44;11:18;1,57;1,57;FALSE;1
107;2011;170;7;;;06:43;10:24;3,68;3,68;FALSE;0
107;2011;184;4;;;06:40;11:34;4,9;4,9;FALSE;2
107;2011;206;2;;;08:48;08:53;0,08;0,08;FALSE;3
107;2012;148;5;;;07:28;09:39;2,18;2,18;FALSE;1
107;2012;192;2;;;07:40;08:40;1;1;FALSE;2
107;2012;202;4;;;08:04;09:35;1,52;1,52;FALSE;3
107;2012;213;1;;;10:56;10:56;0;0;FALSE;0
108;2003;134;10;;;07:25;12:00;4,58;4,58;TRUE;1
108;2003;162;8;;;06:36;11:14;4,63;4,63;TRUE;2
108;2003;183;9;;;06:28;12:45;6,28;6,28;TRUE;3
108;2004;140;10;;;08:11;12:39;4,47;4,47;TRUE;1
108;2004;161;14;;;05:52;12:13;6,35;6,35;TRUE;2
108;2004;185;18;;;05:43;12:42;6,98;6,98;TRUE;3
108;2005;135;15;;;06:14;11:30;5,27;5,27;TRUE;1
108;2005;162;15;;;05:30;13:12;7,7;7,7;TRUE;2
108;2005;185;14;;;05:42;12:02;6,33;6,33;TRUE;3
108;2006;134;23;;;06:00;13:21;7,35;7,35;TRUE;1
108;2006;158;10;;;06:17;13:04;6,78;6,78;TRUE;2
108;2006;186;10;;;05:57;13:17;7,33;7,33;TRUE;3
108;2007;132;11;;;06:03;12:31;6,47;6,47;TRUE;1
108;2007;164;25;;;05:52;12:46;6,9;6,9;TRUE;2
108;2007;187;9;;;07:17;13:06;5,82;5,82;TRUE;3
108;2008;133;19;;;05:45;13:10;7,42;7,42;TRUE;1
108;2008;163;18;;;05:34;11:59;6,42;6,42;TRUE;2
108;2008;187;9;;;05:58;12:30;6,53;6,53;TRUE;3
108;2009;137;17;;;06:04;12:22;6,3;6,3;TRUE;1
108;2009;161;19;;;05:31;12:40;7,15;7,15;TRUE;2
108;2009;184;19;;;05:55;12:45;6,83;6,83;TRUE;3
108;2010;133;26;;;05:54;13:05;7,18;7,18;TRUE;1
108;2010;167;14;;;05:25;11:43;6,3;6,3;TRUE;2
108;2010;181;12;;;05:30;12:00;6,5;6,5;TRUE;3
108;2011;132;24;;;06:10;13:15;7,08;7,08;TRUE;1
108;2011;166;24;;;05:30;13:20;7,83;7,83;TRUE;2
108;2011;186;30;;;06:00;13:55;7,92;7,92;TRUE;3
108;2012;134;11;;;06:00;13:45;7,75;7,75;TRUE;1
108;2012;165;20;;;06:10;13:20;7,17;7,17;TRUE;2
108;2012;188;10;;;06:15;12:55;6,67;6,67;TRUE;3
108;2013;187;15;;;06:17;13:17;7;7;TRUE;0
108;2014;134;23;;;07:15;12:45;5,5;5,5;TRUE;1
108;2014;159;12;;;05:32;13:10;7,63;7,63;TRUE;2
108;2014;187;7;;;08:05;13:00;4,92;4,92;TRUE;3
108;2015;165;20;;;05:37;11:31;5,9;5,9;TRUE;0
108;2015;186;12;;;06:04;09:29;3,42;3,42;FALSE;0
108;2016;132;29;;;06:01;13:02;7,02;7,02;TRUE;1
108;2016;164;14;;;06:30;12:31;6,02;6,02;TRUE;2
108;2016;185;7;;;06:40;11:46;5,1;5,1;TRUE;3
108;2017;128;13;;;06:05;11:40;5,58;5,58;TRUE;1
108;2017;154;21;;;05:39;11:39;6;6;TRUE;2
108;2017;183;23;;;06:00;12:14;6,23;6,23;TRUE;3
108;2018;135;21;;;05:15;12:44;7,48;7,48;TRUE;1
108;2018;163;8;;;06:26;10:47;4,35;4,35;TRUE;2
108;2018;164;1;;;05:39;05:39;0;0;FALSE;0
