"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"ACCNIS";0;0;0;0;0;0,699999999999999;1;53;0,0119047619047619;"Terrestre";"Long";27;0,107142857142857
"Terrestre";"ACRARU";0;0;0;0,75;1;1;1;53;0,0128205128205128;"Aquatique";"Long";8;0,0317460317460317
"Terrestre";"ACRMEL";0;0;0;0;0;0;0;60;0;"Aquatique";"Court";1;0,00396825396825397
"Terrestre";"ACRRIS";0;0;1;3,25;9,2;14,525;5;53;0,12987012987013;"Aquatique";"Long";52;0,206349206349206
"Terrestre";"ACRSCH";0;0;0;0,75;4,2;7,8;3;53;0,0769230769230769;"Aquatique";"Long";42;0,166666666666667
"Terrestre";"ACRSCI";0;0;1;8;23,6;41,6;20;53;0,333333333333333;"Aquatique";"Long";115;0,456349206349206
"Terrestre";"ACTHYP";0;0;0;0;0;0;0;23;0;"Aquatique";"Long";2;0,00793650793650794
"Terrestre";"AEGCAU";0;0;0;2;4;7,22499999999999;23;53;0,4;"Terrestre";"Court";200;0,793650793650794
"Terrestre";"ALCATT";0;0;0;0;1;2;4;53;0,0833333333333333;"Aquatique";"Court";75;0,297619047619048
"Terrestre";"ANTPRA";0;0;0;0;0;0;0;80;0;"Terrestre";"Court";5;0,0198412698412698
"Terrestre";"ANTRIS";0;0;0;0;0;0;0;81;0;"Terrestre";"Court";2;0,00793650793650794
"Terrestre";"ANTTRI";0;0;0;1;2,1;5,25;4;53;0,0943396226415094;"Terrestre";"Long";57;0,226190476190476
"Terrestre";"APUAPU";0;0;0;0;0;0;0;77;0;"Terrestre";"Long";4;0,0158730158730159
"Terrestre";"ASIOTU";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";10;0,0396825396825397
"Terrestre";"ATHNOC";0;0;0;0;0;0;0;80;0;"Terrestre";"Court";3;0,0119047619047619
"Terrestre";"BUTBUT";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";7;0,0277777777777778
"Terrestre";"CAPEUR";0;0;0;0,25;1;1;2;80;0,0238095238095238;"Terrestre";"Long";17;0,0674603174603175
"Terrestre";"CARCHL";0;0;0;1;3;4,85;12;53;0,246753246753247;"Terrestre";"Court";108;0,428571428571429
"Terrestre";"CARERY";0;0;0;0;0;0;0;106;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"CARINA";0;0;0;2;4;5,6;8;53;0,14018691588785;"Terrestre";"Court";68;0,26984126984127
"Terrestre";"CARLIS";0;0;0;1;2,1;4;8;53;0,166666666666667;"Terrestre";"Court";97;0,384920634920635
"Terrestre";"CARMEA";1;1;1;1;1;1;1;82;0,00993605509099852;"Terrestre";"Court";3;0,0119047619047619
"Terrestre";"CARNUS";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Court";5;0,0198412698412698
"Terrestre";"CERRIS";0;0;0;0;0,549999999999999;0,975;1;55,5;0,0200722601364914;"Terrestre";"Court";25;0,0992063492063492
"Terrestre";"CERYLA";0;0;0;1;2;3,02499999999999;14;53;0,25;"Terrestre";"Court";181;0,718253968253968
"Terrestre";"CETCET";0;0,25;2;5;10,3;15,5125;9,5;55,5;0,166666666666667;"Aquatique";"Court";61;0,242063492063492
"Terrestre";"CICLUS";0;0;0;0;0;0;0;81;0;"Aquatique";"Court";3;0,0119047619047619
"Terrestre";"CISJUN";0;0;0;0,75;1;1;1;58;0,0188679245283019;"Aquatique";"Court";9;0,0357142857142857
"Terrestre";"COCTES";0;0;0;0,5;1,7;2;4;53;0,0943396226415094;"Terrestre";"Court";57;0,226190476190476
"Terrestre";"COLBUS";0;0;0;0;0,0499999999999998;0,787500000000001;1;55,5;0,0113287250384025;"Terrestre";"Court";29;0,115079365079365
"Terrestre";"COLLIV";0;0;0;0;0;0;0;82,5;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"CORFRU";0;0;0;0;0;0;0;35;0;"Terrestre";"Court";1;0,00396825396825397
"Terrestre";"CORONE";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";5;0,0198412698412698
"Terrestre";"CUCCAN";0;0;0;0;0;0;0;55,5;0;"Terrestre";"Long";13;0,0515873015873016
"Terrestre";"DELURB";0;0;0;0;0;0;0;81;0;"Terrestre";"Long";5;0,0198412698412698
"Terrestre";"DENMAJ";0;0;0;1;1,6;2,45;12;53;0,269230769230769;"Terrestre";"Court";171;0,678571428571429
"Terrestre";"DENMED";0;0;0;0;0;0,674999999999999;1;53;0,00934579439252336;"Terrestre";"Court";26;0,103174603174603
"Terrestre";"DENMIN";0;0;0;0;0;1;1;53;0,0319148936170213;"Terrestre";"Court";54;0,214285714285714
"Terrestre";"DRYMAR";0;0;0;0;0;0;0;53;0;"Terrestre";"Court";19;0,0753968253968254
"Terrestre";"EMBCIA";0;0;0;0;0;0;0;78;0;"Terrestre";"Court";3;0,0119047619047619
"Terrestre";"EMBCIR";0;0;0;1;2,3;5,39999999999999;8;60;0,0957446808510638;"Terrestre";"Court";56;0,222222222222222
"Terrestre";"EMBCIT";0;0;1;2;4;6,6;15;53;0,3;"Terrestre";"Court";101;0,400793650793651
"Terrestre";"EMBSCH";0;0;0;2;3,8;5,4;5;53;0,12987012987013;"Aquatique";"Court";51;0,202380952380952
"Terrestre";"ERIRUB";0;1;3;6;10,4;13,25;42;53;0,741935483870968;"Terrestre";"Court";243;0,964285714285714
