"YEAR";"HABITAT";"ESPECE";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2011;"STOC-rozo";"EMBSCH";"Court";0;0;0;0,1;0,44
2012;"STOC-rozo";"EMBSCH";"Court";0;0;0;0,166666666666667;0,333333333333333
2013;"STOC-rozo";"EMBSCH";"Court";0;0;0;0;0,4325
2014;"STOC-rozo";"EMBSCH";"Court";0;0;0,0833333333333333;0,191666666666667;0,413888888888889
2015;"STOC-rozo";"EMBSCH";"Court";0;0;0;0;0
2016;"STOC-rozo";"EMBSCH";"Court";0;0;0;0,357142857142857;0,935714285714286
2017;"STOC-rozo";"EMBSCH";"Court";0;0;0;0,384615384615385;0,58
2018;"STOC-rozo";"EMBSCH";"Court";0;0;0;0;0,857142857142858
2019;"STOC-rozo";"EMBSCH";"Court";0;0;0;0,333333333333333;0,445833333333333
1990;"Terrestre";"EMBSCH";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
1991;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
1994;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
1995;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
1997;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
1998;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
1999;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2000;"Terrestre";"EMBSCH";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2001;"Terrestre";"EMBSCH";"Court";0;0;0;0,142857142857143;0,271428571428571
2002;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2003;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2004;"Terrestre";"EMBSCH";"Court";0;0;0;0,115384615384615;0,219230769230769
2005;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2006;"Terrestre";"EMBSCH";"Court";0;0;0;0,5;0,95
2007;"Terrestre";"EMBSCH";"Court";0;0;0;0,5;0,564285714285714
2008;"Terrestre";"EMBSCH";"Court";0;0;0;0;0,6
2009;"Terrestre";"EMBSCH";"Court";0;0;0;0,25;0,625
2010;"Terrestre";"EMBSCH";"Court";0;0;0,333333333333333;0,333333333333333;0,483333333333333
2011;"Terrestre";"EMBSCH";"Court";0,0142857142857143;0,142857142857143;0,285714285714286;0,392857142857143;0,489285714285714
2012;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2013;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2014;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2015;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2016;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2017;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2018;"Terrestre";"EMBSCH";"Court";0;0;0;0;0
2006;"Aquatique";"ERIRUB";"Court";0,0125;0,125;0,25;0,375;0,4875
2007;"Aquatique";"ERIRUB";"Court";0;0;0;0;0
2008;"Aquatique";"ERIRUB";"Court";0;0;0;0;0
2010;"Aquatique";"ERIRUB";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"Aquatique";"ERIRUB";"Court";1;1;1;1;1
2013;"Aquatique";"ERIRUB";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2014;"Aquatique";"ERIRUB";"Court";0,0125;0,125;0,25;0,375;0,4875
2015;"Aquatique";"ERIRUB";"Court";0;0;0;0,125;0,2375
2017;"Aquatique";"ERIRUB";"Court";0,05;0,5;1;1;1
2018;"Aquatique";"ERIRUB";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
2019;"Aquatique";"ERIRUB";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2002;"STOC-rozo";"ERIRUB";"Court";0,5;0,5;0,5;0,5;0,5
2005;"STOC-rozo";"ERIRUB";"Court";0,5;0,5;0,5;0,5;0,5
2006;"STOC-rozo";"ERIRUB";"Court";0,75;0,75;0,75;0,75;0,75
2008;"STOC-rozo";"ERIRUB";"Court";1;1;1;1;1
2011;"STOC-rozo";"ERIRUB";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2014;"STOC-rozo";"ERIRUB";"Court";1;1;1;1;1
2016;"STOC-rozo";"ERIRUB";"Court";0,5;0,5;0,5;0,5;0,5
1989;"Terrestre";"ERIRUB";"Court";0,590972222222222;0,659722222222222;0,736111111111111;0,8125;0,88125
1990;"Terrestre";"ERIRUB";"Court";0,195454545454545;0,386363636363636;0,555555555555556;0,794642857142857;0,875
1991;"Terrestre";"ERIRUB";"Court";0,175;0,236111111111111;0,3125;0,442307692307692;0,925
1992;"Terrestre";"ERIRUB";"Court";0,035;0,33125;0,430769230769231;0,511363636363636;0,590454545454545
1993;"Terrestre";"ERIRUB";"Court";0,308571428571429;0,533333333333333;0,666666666666667;0,714285714285714;0,966666666666667
1994;"Terrestre";"ERIRUB";"Court";0,0704166666666667;0,239035087719298;0,403703703703704;0,625;0,934375
1995;"Terrestre";"ERIRUB";"Court";0,1225;0,282894736842105;0,32258064516129;0,354166666666667;0,751704545454545
1996;"Terrestre";"ERIRUB";"Court";0,120833333333333;0,274425287356322;0,416666666666667;0,625;1
1997;"Terrestre";"ERIRUB";"Court";0;0;0,233333333333333;0,566666666666667;0,95
1998;"Terrestre";"ERIRUB";"Court";0;0,15;0,242857142857143;0,397727272727273;0,6375
1999;"Terrestre";"ERIRUB";"Court";0,00961538461538462;0,129120879120879;0,342857142857143;0,6;0,958333333333333
2000;"Terrestre";"ERIRUB";"Court";0;0;0,381578947368421;0,6875;1
2001;"Terrestre";"ERIRUB";"Court";0;0,226470588235294;0,412587412587413;0,575;1
2002;"Terrestre";"ERIRUB";"Court";0;0,0625;0,354166666666667;0,667857142857143;0,922727272727273
2003;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,583333333333333;0,8625
2004;"Terrestre";"ERIRUB";"Court";0;0;0,25;0,583333333333333;1
2005;"Terrestre";"ERIRUB";"Court";0;0,1;0,333333333333333;0,5;1
2006;"Terrestre";"ERIRUB";"Court";0;0;0,416666666666667;0,666666666666667;1
2007;"Terrestre";"ERIRUB";"Court";0;0,171428571428571;0,5;0,857142857142857;1
2008;"Terrestre";"ERIRUB";"Court";0;0;0,25;0,5;1
2009;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,702380952380952;1
2010;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,6;1
2011;"Terrestre";"ERIRUB";"Court";0;0,205555555555556;0,5;0,7875;1
2012;"Terrestre";"ERIRUB";"Court";0;0;0,1;0,5;1
2013;"Terrestre";"ERIRUB";"Court";0;0;0,142857142857143;0,5;1
2014;"Terrestre";"ERIRUB";"Court";0;0,333333333333333;0,5;0,666666666666667;1
2015;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,583333333333333;1
2016;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,60625;1
2017;"Terrestre";"ERIRUB";"Court";0;0;0,5;0,8;1
2018;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,768817204301075;1
2019;"Terrestre";"ERIRUB";"Court";0;0;0,333333333333333;0,5;1
2005;"STOC-rozo";"FRICOE";"Court";0;0;0;0;0
2007;"STOC-rozo";"FRICOE";"Court";0;0;0;0;0
2008;"STOC-rozo";"FRICOE";"Court";0;0;0;0;0
1990;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1991;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1992;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1993;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1994;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1995;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1996;"Terrestre";"FRICOE";"Court";0,00833333333333334;0,0833333333333333;0,166666666666667;0,25;0,325
1997;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1998;"Terrestre";"FRICOE";"Court";0;0;0;0;0
1999;"Terrestre";"FRICOE";"Court";0;0;0;0;0,9
2000;"Terrestre";"FRICOE";"Court";0;0;0;0,25;0,925
2001;"Terrestre";"FRICOE";"Court";0;0;0;0,125;0,4625
2002;"Terrestre";"FRICOE";"Court";0;0;0;0;0,16
2003;"Terrestre";"FRICOE";"Court";0;0;0;0;0
2004;"Terrestre";"FRICOE";"Court";0;0;0;0;0,4525
2005;"Terrestre";"FRICOE";"Court";0;0;0;0;0,596666666666666
2006;"Terrestre";"FRICOE";"Court";0;0;0;0;0,660714285714285
2007;"Terrestre";"FRICOE";"Court";0;0;0;0;0,7125
2008;"Terrestre";"FRICOE";"Court";0;0;0;0;0,633333333333333
2009;"Terrestre";"FRICOE";"Court";0;0;0;0;0,833333333333333
2010;"Terrestre";"FRICOE";"Court";0;0;0;0;0,5
2011;"Terrestre";"FRICOE";"Court";0;0;0;0;1
2012;"Terrestre";"FRICOE";"Court";0;0;0;0;0
2013;"Terrestre";"FRICOE";"Court";0;0;0;0;1
2014;"Terrestre";"FRICOE";"Court";0;0;0;0;1
2015;"Terrestre";"FRICOE";"Court";0;0;0;0;0,2375
2016;"Terrestre";"FRICOE";"Court";0;0;0;0;0,333333333333333
2017;"Terrestre";"FRICOE";"Court";0;0;0;0;0,649999999999999
2018;"Terrestre";"FRICOE";"Court";0;0;0;0;0
2019;"Terrestre";"FRICOE";"Court";0;0;0;0;0,85
1989;"Terrestre";"GARGLA";"Court";0;0;0;0;0
1990;"Terrestre";"GARGLA";"Court";0;0;0;0;0
1993;"Terrestre";"GARGLA";"Court";0;0;0;0;0
1997;"Terrestre";"GARGLA";"Court";0;0;0;0;0
1999;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2001;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2002;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2004;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2005;"Terrestre";"GARGLA";"Court";0;0;0;0,5;1
2006;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2007;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2008;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2009;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2010;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2011;"Terrestre";"GARGLA";"Court";0;0;0;0;0,85
2012;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2013;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2014;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2015;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2016;"Terrestre";"GARGLA";"Court";0;0;0;0;0,825
2017;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2018;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2019;"Terrestre";"GARGLA";"Court";0;0;0;0;0
2018;"Terrestre";"LOXCUR";"Court";0;0;0;0;0
1991;"Terrestre";"LULARB";"Court";0;0;0;0;0
2005;"Terrestre";"LULARB";"Court";0;0;0;0;0
2007;"Terrestre";"LULARB";"Court";0;0;0;0;0
2009;"Terrestre";"LULARB";"Court";0;0;0;0;0
2010;"Terrestre";"LULARB";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"Terrestre";"LULARB";"Court";0,0125;0,125;0,25;0,375;0,4875
2012;"Terrestre";"LULARB";"Court";0,0187499999999999;0,1875;0,375;0,5625;0,73125
2013;"Terrestre";"LULARB";"Court";0;0;0;0;0
2015;"Terrestre";"LULARB";"Court";1;1;1;1;1
2017;"Terrestre";"LULARB";"Court";0;0;0;0;0
2018;"Terrestre";"LULARB";"Court";0;0;0;0;0
2019;"Terrestre";"LULARB";"Court";0,8;0,8;0,8;0,8;0,8
2005;"Terrestre";"MILCAL";"Court";0;0;0;0;0
2009;"Terrestre";"MILCAL";"Court";1;1;1;1;1
2011;"Terrestre";"MILCAL";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2012;"Terrestre";"MILCAL";"Court";0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667
2014;"Terrestre";"MILCAL";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2015;"Terrestre";"MILCAL";"Court";0;0;0;0;0
2016;"Terrestre";"MILCAL";"Court";0;0;0;0;0
2017;"Terrestre";"MILCAL";"Court";0;0;0;0;0
2018;"Terrestre";"MILCAL";"Court";0,25;0,25;0,25;0,25;0,25
2017;"Aquatique";"MOTALB";"Court";0;0;0;0;0
2005;"Terrestre";"MOTALB";"Court";0;0;0;0;0
2007;"Terrestre";"MOTALB";"Court";0;0;0;0;0
2010;"Terrestre";"MOTALB";"Court";0,0125;0,125;0,25;0,375;0,4875
2011;"Terrestre";"MOTALB";"Court";0,634375;0,71875;0,8125;0,90625;0,990625
2012;"Terrestre";"MOTALB";"Court";0;0;0;0;0
2013;"Terrestre";"MOTALB";"Court";0;0;0;0;0
2014;"Terrestre";"MOTALB";"Court";0;0;0;0;0
2011;"Terrestre";"MOTCIN";"Court";0;0;0;0;0
2013;"Terrestre";"MOTCIN";"Court";0;0;0;0;0
2002;"Aquatique";"PANBIA";"Court";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2003;"Aquatique";"PANBIA";"Court";0,2;0,2;0,2;0,2;0,2
2008;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2010;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2015;"Aquatique";"PANBIA";"Court";0,153896103896104;0,253246753246753;0,363636363636364;0,431818181818182;0,493181818181818
2016;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2017;"Aquatique";"PANBIA";"Court";0,1875;0,1875;0,1875;0,1875;0,1875
2018;"Aquatique";"PANBIA";"Court";0,0107142857142857;0,107142857142857;0,214285714285714;0,321428571428571;0,417857142857143
2019;"Aquatique";"PANBIA";"Court";0;0;0;0;0
2001;"STOC-rozo";"PANBIA";"Court";0,367045454545455;0,397727272727273;0,431818181818182;0,465909090909091;0,496590909090909
2002;"STOC-rozo";"PANBIA";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2003;"STOC-rozo";"PANBIA";"Court";0;0;0;0;0
2004;"STOC-rozo";"PANBIA";"Court";0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769
2007;"STOC-rozo";"PANBIA";"Court";0;0;0;0,411764705882353;0,782352941176471
2008;"STOC-rozo";"PANBIA";"Court";0;0;0;0,0714285714285714;0,135714285714286
2009;"STOC-rozo";"PANBIA";"Court";0,00192307692307692;0,0192307692307692;0,0384615384615385;0,0576923076923077;0,075
2010;"STOC-rozo";"PANBIA";"Court";0;0;0;0,03125;0,059375
2011;"STOC-rozo";"PANBIA";"Court";0,205606060606061;0,256060606060606;0,312121212121212;0,368181818181818;0,418636363636364
2013;"STOC-rozo";"PANBIA";"Court";0;0;0;0;0
2014;"STOC-rozo";"PANBIA";"Court";0,0202830188679245;0,202830188679245;0,405660377358491;0,608490566037736;0,791037735849057
2015;"STOC-rozo";"PANBIA";"Court";0,00357142857142856;0,0357142857142857;0,0714285714285714;0,107142857142857;0,139285714285714
2016;"STOC-rozo";"PANBIA";"Court";0;0;0;0,107142857142857;0,203571428571429
2017;"STOC-rozo";"PANBIA";"Court";0,224747474747475;0,247474747474747;0,272727272727273;0,386363636363636;0,488636363636364
2018;"STOC-rozo";"PANBIA";"Court";0,0810769230769231;0,118461538461538;0,16;0,18;0,198
2019;"STOC-rozo";"PANBIA";"Court";1;1;1;1;1
2007;"Aquatique";"PAPALU";"Court";0;0;0;0;0
2015;"Aquatique";"PAPALU";"Court";0;0;0;0;0
2005;"STOC-rozo";"PAPALU";"Court";0;0;0;0;0
2014;"STOC-rozo";"PAPALU";"Court";1;1;1;1;1
2015;"STOC-rozo";"PAPALU";"Court";0;0;0;0;0
1989;"Terrestre";"PAPALU";"Court";0;0;0;0;0
1990;"Terrestre";"PAPALU";"Court";0;0;0;0,3;0,57
1991;"Terrestre";"PAPALU";"Court";0;0;0;0;0
1992;"Terrestre";"PAPALU";"Court";0,5375;0,875;1;1;1
1993;"Terrestre";"PAPALU";"Court";0;0,125;0,5;0,6875;0,96875
1994;"Terrestre";"PAPALU";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
1995;"Terrestre";"PAPALU";"Court";0;0;0;0;0
1996;"Terrestre";"PAPALU";"Court";0,0125;0,125;0,25;0,625;0,9625
1997;"Terrestre";"PAPALU";"Court";1;1;1;1;1
1998;"Terrestre";"PAPALU";"Court";1;1;1;1;1
1999;"Terrestre";"PAPALU";"Court";0;0;0;0,5;0,95
2000;"Terrestre";"PAPALU";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2001;"Terrestre";"PAPALU";"Court";0,025;0,25;0,666666666666667;1;1
2002;"Terrestre";"PAPALU";"Court";0;0;0;0;0
2003;"Terrestre";"PAPALU";"Court";0;0;0,5;1;1
2004;"Terrestre";"PAPALU";"Court";0;0,125;0,846153846153846;1;1
2005;"Terrestre";"PAPALU";"Court";0;0;0;0,833333333333333;1
2006;"Terrestre";"PAPALU";"Court";0;0,125;0,666666666666667;1;1
2007;"Terrestre";"PAPALU";"Court";0;0;0,5;1;1
2008;"Terrestre";"PAPALU";"Court";0;0;0;0;0,87
2009;"Terrestre";"PAPALU";"Court";0;0;1;1;1
2010;"Terrestre";"PAPALU";"Court";0;0;0,466666666666667;1;1
2011;"Terrestre";"PAPALU";"Court";0;0;0;0,589285714285714;1
2012;"Terrestre";"PAPALU";"Court";0;0;0,125;0,675;1
2013;"Terrestre";"PAPALU";"Court";0;0;0;0,95;1
2014;"Terrestre";"PAPALU";"Court";0;0;0,625;1;1
2015;"Terrestre";"PAPALU";"Court";0;0;0;0,3;1
2016;"Terrestre";"PAPALU";"Court";0;0;0;1;1
2017;"Terrestre";"PAPALU";"Court";0;0;0;1;1
2018;"Terrestre";"PAPALU";"Court";0;0;0;0,25;1
2019;"Terrestre";"PAPALU";"Court";0;0;0,5;1;1
1990;"Terrestre";"PARATE";"Court";1;1;1;1;1
2003;"Terrestre";"PARATE";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2004;"Terrestre";"PARATE";"Court";0;0;0;0;0
2005;"Terrestre";"PARATE";"Court";0,025;0,25;0,5;0,75;0,975
2006;"Terrestre";"PARATE";"Court";1;1;1;1;1
2007;"Terrestre";"PARATE";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
2008;"Terrestre";"PARATE";"Court";0;0;0;0;0
2009;"Terrestre";"PARATE";"Court";0;0;0;0;0
2010;"Terrestre";"PARATE";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"Terrestre";"PARATE";"Court";1;1;1;1;1
2012;"Terrestre";"PARATE";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2013;"Terrestre";"PARATE";"Court";0;0;0;0;0
2014;"Terrestre";"PARATE";"Court";0;0;0;0;0
2015;"Terrestre";"PARATE";"Court";0;0;0;0;0
2016;"Terrestre";"PARATE";"Court";1;1;1;1;1
2017;"Terrestre";"PARATE";"Court";0;0;0;0;0
2018;"Terrestre";"PARATE";"Court";0;0;0;0;0
2019;"Terrestre";"PARATE";"Court";1;1;1;1;1
2007;"Aquatique";"PARCAE";"Court";0,2625;0,375;0,5;0,75;0,975
2008;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2009;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2010;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2011;"Aquatique";"PARCAE";"Court";0;0;0;0,09375;0,346875
2012;"Aquatique";"PARCAE";"Court";0;0;0;0,25;0,475
2013;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2014;"Aquatique";"PARCAE";"Court";0,432142857142857;0,464285714285714;0,5;0,583333333333333;0,658333333333333
2015;"Aquatique";"PARCAE";"Court";0;0;0;0,428571428571429;0,492857142857143
2016;"Aquatique";"PARCAE";"Court";0;0;0,333333333333333;1;1
2017;"Aquatique";"PARCAE";"Court";0;0;0,125;0,3125;0,916666666666667
2018;"Aquatique";"PARCAE";"Court";0;0;0;0;0
2019;"Aquatique";"PARCAE";"Court";0;0;0;0;0,225
2000;"STOC-rozo";"PARCAE";"Court";0;0;0;0;0
2001;"STOC-rozo";"PARCAE";"Court";1;1;1;1;1
2002;"STOC-rozo";"PARCAE";"Court";0;0;0;0;0
2003;"STOC-rozo";"PARCAE";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325
2005;"STOC-rozo";"PARCAE";"Court";0,0125;0,125;0,25;0,375;0,4875
2006;"STOC-rozo";"PARCAE";"Court";0;0;0;0,5;0,95
2007;"STOC-rozo";"PARCAE";"Court";0,510416666666667;0,604166666666667;0,708333333333333;0,8125;0,90625
2008;"STOC-rozo";"PARCAE";"Court";0;0;0;0,0833333333333333;0,308333333333333
2009;"STOC-rozo";"PARCAE";"Court";0;0;0;0,5;0,95
2010;"STOC-rozo";"PARCAE";"Court";0;0;0;0,333333333333333;0,933333333333334
2011;"STOC-rozo";"PARCAE";"Court";0;0;0;0,5;0,958333333333333
2012;"STOC-rozo";"PARCAE";"Court";0;0;0;0,125;0,4625
2013;"STOC-rozo";"PARCAE";"Court";0;0;0,25;0,625;0,9625
2014;"STOC-rozo";"PARCAE";"Court";0,05;0,5;0,666666666666667;0,75;0,975
2015;"STOC-rozo";"PARCAE";"Court";0;0;0;0;0
2016;"STOC-rozo";"PARCAE";"Court";0,0178571428571429;0,178571428571429;0,357142857142857;0,678571428571429;0,967857142857143
2017;"STOC-rozo";"PARCAE";"Court";0,0480769230769231;0,413461538461538;0,535714285714286;0,705357142857143;0,96875
2018;"STOC-rozo";"PARCAE";"Court";0;0;0;0,5;0,958333333333333
2019;"STOC-rozo";"PARCAE";"Court";0,346666666666667;0,466666666666667;0,6;0,675;0,7425
1990;"Terrestre";"PARCAE";"Court";0;0,0833333333333333;0,5;0,766666666666667;0,975
1991;"Terrestre";"PARCAE";"Court";0,2575;0,325;0,4;0,557142857142857;0,698571428571429
1992;"Terrestre";"PARCAE";"Court";0;0,125;0,583333333333333;0,729166666666667;0,88125
1993;"Terrestre";"PARCAE";"Court";0,035;0,3;0,644444444444444;1;1
1994;"Terrestre";"PARCAE";"Court";0;0;0;0;0
1995;"Terrestre";"PARCAE";"Court";0,025;0,25;0,5;0,5;0,5
1996;"Terrestre";"PARCAE";"Court";0;0;0;0,15;0,555
1997;"Terrestre";"PARCAE";"Court";0;0;0;0;0
1998;"Terrestre";"PARCAE";"Court";0,0375;0,375;0,75;1;1
1999;"Terrestre";"PARCAE";"Court";0;0;0;0,25;0,925
2000;"Terrestre";"PARCAE";"Court";0;0;0;0;0,45
2001;"Terrestre";"PARCAE";"Court";0;0;0,25;0,583333333333333;1
2002;"Terrestre";"PARCAE";"Court";0;0,446428571428571;0,5;0,666666666666667;1
2003;"Terrestre";"PARCAE";"Court";0;0;0,75;1;1
2004;"Terrestre";"PARCAE";"Court";0;0;0;0,55;1
2005;"Terrestre";"PARCAE";"Court";0;0;0,125;0,730603448275862;1
2006;"Terrestre";"PARCAE";"Court";0;0;0;0,1875;0,934615384615385
2007;"Terrestre";"PARCAE";"Court";0;0;0,5;0,833333333333333;1
2008;"Terrestre";"PARCAE";"Court";0;0;0;0,1875;1
2009;"Terrestre";"PARCAE";"Court";0;0;0,428571428571429;0,714285714285714;1
2010;"Terrestre";"PARCAE";"Court";0;0;0,166666666666667;0,649147727272727;1
2011;"Terrestre";"PARCAE";"Court";0;0;0,5;0,859523809523809;1
2012;"Terrestre";"PARCAE";"Court";0;0;0,0909090909090909;0,636363636363636;1
2013;"Terrestre";"PARCAE";"Court";0;0;0;0,520833333333333;1
2014;"Terrestre";"PARCAE";"Court";0;0;0,5;1;1
2015;"Terrestre";"PARCAE";"Court";0;0;0,2;0,5;1
2016;"Terrestre";"PARCAE";"Court";0;0;0;0,5;1
2017;"Terrestre";"PARCAE";"Court";0;0;0;0,583333333333333;1
2018;"Terrestre";"PARCAE";"Court";0;0;0;0,383333333333333;0,791666666666667
2019;"Terrestre";"PARCAE";"Court";0;0;0;0,61875;1
2007;"STOC-rozo";"PARCRI";"Court";1;1;1;1;1
1989;"Terrestre";"PARCRI";"Court";0;0;0;0;0
1990;"Terrestre";"PARCRI";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
1991;"Terrestre";"PARCRI";"Court";0,6;0,6;0,6;0,6;0,6
1992;"Terrestre";"PARCRI";"Court";0,670833333333333;0,708333333333333;0,75;0,875;0,9875
1993;"Terrestre";"PARCRI";"Court";0,0285714285714286;0,285714285714286;0,571428571428571;0,785714285714286;0,978571428571429
1994;"Terrestre";"PARCRI";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
1995;"Terrestre";"PARCRI";"Court";0;0;0;0;0
1999;"Terrestre";"PARCRI";"Court";0;0;0;0;0
2000;"Terrestre";"PARCRI";"Court";0;0;0;0,5;0,95
2003;"Terrestre";"PARCRI";"Court";0;0;0,25;0,625;0,9625
2004;"Terrestre";"PARCRI";"Court";0,1;1;1;1;1
2005;"Terrestre";"PARCRI";"Court";0;0;0,538461538461538;0,666666666666667;0,966666666666667
2006;"Terrestre";"PARCRI";"Court";0,0357142857142857;0,357142857142857;0,714285714285714;0,857142857142857;0,985714285714286
2007;"Terrestre";"PARCRI";"Court";0;0;0,636363636363636;0,75;0,963636363636364
2008;"Terrestre";"PARCRI";"Court";0;0;0;0,5;0,9125
2009;"Terrestre";"PARCRI";"Court";0;0;0;0;0,566666666666666
2010;"Terrestre";"PARCRI";"Court";0;0;0,568181818181818;0,75;1
2011;"Terrestre";"PARCRI";"Court";0,0375;0,375;0,583333333333333;0,666666666666667;0,666666666666667
2012;"Terrestre";"PARCRI";"Court";0;0;0;0;0,4
2013;"Terrestre";"PARCRI";"Court";0,50625;0,5625;0,625;0,6875;0,74375
2014;"Terrestre";"PARCRI";"Court";0;0;0,3;0,7;0,97
2015;"Terrestre";"PARCRI";"Court";0;0;0;1;1
2017;"Terrestre";"PARCRI";"Court";0,075;0,75;1;1;1
2018;"Terrestre";"PARCRI";"Court";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
2019;"Terrestre";"PARCRI";"Court";0;0;0;0;0
2004;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2007;"Aquatique";"PARMAJ";"Court";0,366666666666667;0,666666666666667;1;1;1
2008;"Aquatique";"PARMAJ";"Court";0;0;0;0,5;0,95
2009;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2010;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2011;"Aquatique";"PARMAJ";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2012;"Aquatique";"PARMAJ";"Court";0;0;0;0,5;0,95
2014;"Aquatique";"PARMAJ";"Court";0,0249999999999999;0,25;0,5;0,75;0,975
2015;"Aquatique";"PARMAJ";"Court";0;0;0,25;0,625;0,9625
2016;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2017;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2018;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2019;"Aquatique";"PARMAJ";"Court";0;0;0;0;0
2001;"STOC-rozo";"PARMAJ";"Court";1;1;1;1;1
2002;"STOC-rozo";"PARMAJ";"Court";1;1;1;1;1
2006;"STOC-rozo";"PARMAJ";"Court";0;0;0;0;0
2007;"STOC-rozo";"PARMAJ";"Court";0,0333333333333334;0,333333333333333;0,666666666666667;0,833333333333333;0,983333333333333
2008;"STOC-rozo";"PARMAJ";"Court";0,61;0,7;0,8;0,9;0,99
2010;"STOC-rozo";"PARMAJ";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
