"AGE_first";"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";2005;"STOC-rozo";-0,115044247787611;-0,0343822843822844;-0,0265486725663717;0,0619469026548672;0,197522123893805
"JUV";2005;"STOC-rozo";-0,253456462016245;-0,0615384615384615;-0,0142857142857143;0;0,0659090909090909
"AD";2006;"STOC-rozo";-0,135096153846154;-0,0442477876106195;-0,00442477876106201;0,0619469026548672;0,194690265486726
"JUV";2006;"STOC-rozo";-0,179166666666667;-0,06;-0,0217391304347827;0,0311378072355703;0,148328267477204
"AD";2007;"STOC-rozo";-0,11501285577613;-0,0265486725663717;0,0148648648648649;0,0619469026548672;0,165625
"JUV";2007;"STOC-rozo";-0,135416666666667;-0,0320054477357849;0,0187265917602995;0,0630852059925093;0,142857142857143
"AD";2008;"STOC-rozo";-0,113387978142076;-0,0265486725663717;0,0267857142857144;0,0714285714285715;0,238938053097345
"JUV";2008;"STOC-rozo";-0,131558441558442;0;0,0378787878787879;0,086038961038961;0,1875
"AD";2009;"STOC-rozo";-0,115044247787611;-0,0265486725663717;0,0176991150442477;0,0654867256637168;0,238938053097345
"JUV";2009;"STOC-rozo";-0,11072268907563;-0,0588235294117647;0;0,0476190476190476;0,168681318681319
"AD";2010;"STOC-rozo";-0,116451824971074;-0,0265486725663717;-0,00442477876106201;0,0619469026548672;0,200810810810811
"JUV";2010;"STOC-rozo";-0,170212765957447;-0,0976190476190476;-0,019047619047619;0,00961538461538458;0,125
"AD";2011;"STOC-rozo";-0,149714285714286;-0,0442477876106195;0;0,0466666666666666;0,238938053097345
"JUV";2011;"STOC-rozo";-0,137941176470588;-0,0523809523809524;-0,00952380952380949;0,044943820224719;0,180952380952381
"AD";2012;"STOC-rozo";-0,137094594594595;-0,0707964601769912;-0,0241610513352527;0,027027027027027;0,181249999999999
"JUV";2012;"STOC-rozo";-0,0158225108225108;0,00541125541125547;0,0290043290043291;0,0525974025974027;0,0738311688311689
"AD";2013;"STOC-rozo";-0,0947707160096541;-0,0265486725663717;0,0176991150442477;0,0619469026548672;0,283185840707965
"JUV";2013;"STOC-rozo";-0,068612012987013;-0,0315746753246753;0,00535714285714289;0,0392857142857143;0,0682142857142857
"AD";2014;"STOC-rozo";-0,124188790560472;-0,0442477876106195;0;0,0405405405405405;0,194690265486726
"JUV";2014;"STOC-rozo";-0,0947966827180311;-0,0391457793143187;0;0,045995670995671;0,132821105970478
"AD";2015;"STOC-rozo";-0,115044247787611;-0,0433209758430998;0;0,0619469026548672;0,230365724929279
"JUV";2015;"STOC-rozo";-0,0952380952380952;-0,045995670995671;0;0,0478865703584804;0,100093632958801
"AD";2016;"STOC-rozo";-0,117377720640995;-0,0674778761061947;-0,0156063142788807;0,0222088134205521;0,155405405405405
"JUV";2016;"STOC-rozo";-0,0952380952380952;-0,0531567683253076;-0,0113964686998395;0,0127000340483486;0,0442590758512346
"AD";2017;"STOC-rozo";-0,119789524037312;-0,0530973451327435;-0,0143978121384243;0,0265486725663716;0,141592920353982
"JUV";2017;"STOC-rozo";-0,116060606060606;-0,0454545454545455;-0,00909090909090906;0,0363636363636364;0,104812271062271
"AD";2018;"STOC-rozo";-0,122638653168789;-0,0442477876106195;-0,00799999999999997;0,0442477876106195;0,150442477876106
"JUV";2018;"STOC-rozo";-0,126298701298701;-0,0381868131868132;0;0,0454545454545455;0,105798319327731
"AD";2019;"STOC-rozo";-0,122173601007548;-0,0328495575221239;0,00884955752212386;0,0545405405405405;0,202212389380531
"JUV";2019;"STOC-rozo";-0,126298701298701;-0,0381868131868132;0,00910472506217192;0,0602941176470588;0,122256509161041
"AD";1991;"Terrestre";-0,136363636363636;-0,0678030303030303;-0,0285714285714286;0,0170454545454545;0,1
"JUV";1991;"Terrestre";-0,0818181818181818;0;0,0559006211180123;0,0559006211180123;0,0575131390348781
"AD";1992;"Terrestre";-0,0664925373134328;-0,0265486725663717;0,0598196051735874;0,0619469026548672;0,150369940519367
"JUV";1992;"Terrestre";-0,0549603174603175;-0,0496031746031746;0,0178571428571429;0,0982142857142857;0,138392857142857
"AD";1993;"Terrestre";-0,193529411764706;-0,0373931623931624;-0,0265486725663717;0,0588235294117647;0,316993464052287
"JUV";1993;"Terrestre";0,00694444444444444;0,0694444444444444;0,11437908496732;0,117921081476069;0,359448522492001
"AD";1994;"Terrestre";-0,115044247787611;-0,0265486725663717;0,0161713286713287;0,0619469026548672;0,2
"JUV";1994;"Terrestre";0,0931394692264257;0,113212874082439;0,135516657255788;0,157820440429136;0,17789384528515
"AD";1995;"Terrestre";-0,120400558919423;-0,0303030303030303;0,060385216033316;0,0931818181818182;0,333333333333333
"JUV";1995;"Terrestre";-0,00621118012422369;-0,00621118012422369;0;0,118012422360248;0,118012422360248
"AD";1996;"Terrestre";-0,1;-0,0265486725663717;0,0526315789473684;0,0697674418604651;0,151515151515152
"JUV";1996;"Terrestre";-0,0458874458874459;-0,0303030303030303;0;0;0,0503105590062111
"AD";1997;"Terrestre";-0,108019911504425;-0,0265486725663717;0,0526315789473684;0,0762548262548263;0,342088495575221
"JUV";1997;"Terrestre";0;0;0;0;0
"AD";1998;"Terrestre";-0,117647058823529;-0,0666666666666667;-0,0265486725663717;0,0702380952380953;0,215909090909091
"JUV";1998;"Terrestre";-0,176470588235294;-0,0775404861170198;-0,00621118012422369;0,0416666666666667;0,187888198757764
"AD";1999;"Terrestre";-0,142608695652174;-0,0294117647058824;0;0,0619469026548672;0,2
"JUV";1999;"Terrestre";-0,136645962732919;0;0,0303030303030303;0,114285714285714;0,288537549407115
"AD";2000;"Terrestre";-0,179425904977376;-0,0526315789473684;0;0,0585407239819004;0,254398148148148
"JUV";2000;"Terrestre";-0,142857142857143;-0,0303030303030303;0;0,0557280883367839;0,128991596638656
"AD";2001;"Terrestre";-0,140746753246753;-0,0540540540540541;0;0,0588235294117647;0,2
"JUV";2001;"Terrestre";-0,142857142857143;-0,0588235294117647;-0,00621118012422369;0,0555555555555556;0,248214285714285
"AD";2002;"Terrestre";-0,150849056603774;-0,0526315789473684;0;0,0588235294117647;0,2
"JUV";2002;"Terrestre";-0,13875;-0,0482142857142857;0;0,0516463881562155;0,157954545454545
"AD";2003;"Terrestre";-0,168181818181818;-0,0571428571428571;0;0,0576923076923077;0,203506787330317
"JUV";2003;"Terrestre";-0,142857142857143;-0,0384615384615385;0;0,0560099728807628;0,181691134952004
"AD";2004;"Terrestre";-0,136363636363636;-0,0555555555555556;0;0,0545454545454545;0,20375
"JUV";2004;"Terrestre";-0,142857142857143;-0,0384615384615385;0;0,0559006211180123;0,147058823529412
"AD";2005;"Terrestre";-0,146366541353383;-0,037037037037037;0;0,0588235294117647;0,227272727272727
"JUV";2005;"Terrestre";-0,133387370427184;-0,0566176470588235;0;0,0422619047619048;0,151515151515152
"AD";2006;"Terrestre";-0,153655260180995;-0,0454545454545455;0;0,0555555555555556;0,201515151515152
"JUV";2006;"Terrestre";-0,146428571428571;-0,0588235294117647;0;0,0462566844919786;0,142857142857143
"AD";2007;"Terrestre";-0,133333333333333;-0,0384615384615385;0;0,0592625109745391;0,237928007023705
"JUV";2007;"Terrestre";-0,14156746031746;-0,0357142857142857;0;0,0588235294117647;0,153846153846154
"AD";2008;"Terrestre";-0,133333333333333;-0,0454545454545455;0;0,0588235294117647;0,198274336283184
"JUV";2008;"Terrestre";-0,151325757575758;-0,0563417190775681;0;0,0476190476190476;0,142857142857143
"AD";2009;"Terrestre";-0,140024630541872;-0,0384615384615385;0;0,0571428571428571;0,2
"JUV";2009;"Terrestre";-0,142857142857143;-0,0555555555555556;0;0,0555555555555556;0,151515151515152
"AD";2010;"Terrestre";-0,13544226044226;-0,0398863636363636;0;0,0588235294117647;0,273295454545455
"JUV";2010;"Terrestre";-0,147170231729055;-0,0588235294117647;0;0,0454545454545455;0,206425522833973
"AD";2011;"Terrestre";-0,136363636363636;-0,0532153392330384;0;0,05;0,2
"JUV";2011;"Terrestre";-0,142857142857143;-0,0505769230769231;0;0,0357142857142857;0,130792124542125
"AD";2012;"Terrestre";-0,130259398496241;-0,0454545454545455;0;0,0555555555555556;0,205882352941176
"JUV";2012;"Terrestre";-0,1287100456621;-0,0588235294117647;0;0,0365853658536586;0,145962732919255
"AD";2013;"Terrestre";-0,123863636363636;-0,037037037037037;0;0,0588235294117647;0,235294117647059
"JUV";2013;"Terrestre";-0,118449197860963;-0,0368852459016393;0;0,0454545454545455;0,160365853658536
"AD";2014;"Terrestre";-0,136363636363636;-0,0454545454545455;0;0,0536686313843936;0,203562062937063
