"SP";"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
"TURMER";1993;"AD";"Court";81,1015037593985;85,4994299179084;89,1463414634147;95,6250000000001;99,4741908482143;"Terrestre"
"TURPHI";1993;"AD";"Court";62,2728448275862;64,2629310344828;66,7410714285714;68,6116071428572;68,9611607142857;"Terrestre"
"ERIRUB";1994;"AD";"Court";15,4315789473684;16;16,3356643356643;17,4788732394366;21,9632719393283;"Terrestre"
"FRICOE";1994;"AD";"Court";20,9968210468622;21,1877226637435;21,3792134831461;21,5;21,5;"Terrestre"
"PARCAE";1994;"AD";"Court";10,0383064516129;10,383064516129;10,7661290322581;11,1491935483871;11,4939516129032;"Terrestre"
"PARMAJ";1994;"AD";"Court";16,6581791496175;17,555817470201;18,5531933819605;19,55056929372;20,4482076143035;"Terrestre"
"PHYCOL";1994;"AD";"Court";7,30231884057971;8,17719298245615;8,565350877193;8,85000000000003;9,66125;"Terrestre"
"PRUMOD";1994;"AD";"Court";19,4210259529602;19,5302287581699;20,5882352941177;20,9413281753707;21,8621212121212;"Terrestre"
"PYRULA";1994;"AD";"Court";20,8610319767442;22,1219476744186;23,5229651162791;24,9239825581395;26,184898255814;"Terrestre"
"SYLATR";1994;"AD";"Court";15,7004683544303;16,0748945147679;16,9615384615384;18,76;21,7419078947368;"Terrestre"
"TROTRO";1994;"AD";"Court";10,8972222222222;10,9722222222222;11;11,0769230769231;11,2846153846154;"Terrestre"
"TURMER";1994;"AD";"Court";77,9119495166488;82,7115384615388;90,7114624505929;94,0846341463415;101,008043032787;"Terrestre"
"TURPHI";1994;"AD";"Court";60,6702205882351;62,1958333333335;64,13608815427;72,7240912747751;76,5107300884958;"Terrestre"
"AEGCAU";1995;"AD";"Court";7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;7,36206896551725;"Terrestre"
"ERIRUB";1995;"AD";"Court";15,4677746478873;15,7837837837837;16;17,52;21,3712273641851;"Terrestre"
"FRICOE";1995;"AD";"Court";21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;21,2345679012346;"Terrestre"
"PARMAJ";1995;"AD";"Court";18,7566021126761;18,8160211267606;18,8820422535211;18,9480633802817;19,0074823943662;"Terrestre"
"PHYCOL";1995;"AD";"Court";6,4828629032258;6,85512295081968;7,18315184513007;7,93277310924367;8,37097178683386;"Terrestre"
"PRUMOD";1995;"AD";"Court";16,1151079136691;16,1151079136691;18,4830858717281;21,2064796905222;22,1661025145068;"Terrestre"
"SYLATR";1995;"AD";"Court";14,9677746478873;16,6599999999999;17,1164383561644;17,8783783783783;23,0264560334983;"Terrestre"
"TROTRO";1995;"AD";"Court";7,86808300395257;8,52173913043478;9;11;11;"Terrestre"
"TURMER";1995;"AD";"Court";85,7437500000003;90,1754032258065;91,3316326530612;92,2689302884617;94,5706730769231;"Terrestre"
"AEGCAU";1996;"AD";"Court";9,08014777980109;9,13205631040762;9,18973245552598;9,24740860064435;9,29931713125088;"Terrestre"
"ERIRUB";1996;"AD";"Court";13,8833333333333;15,7837837837837;16,5466666666667;17,2894736842105;19,5059627329193;"Terrestre"
"FRICOE";1996;"AD";"Court";20,190733804966;21,2754791804362;23,65;24,1219512195122;24,3750828063836;"Terrestre"
"PAPALU";1996;"AD";"Court";10,3472014925373;10,3824626865672;10,4216417910448;10,4608208955224;10,4960820895522;"Terrestre"
"PARCAE";1996;"AD";"Court";10,047619047619;10,4160830999066;10,6716417910448;10,9072494669509;11,1675223214286;"Terrestre"
"PARMAJ";1996;"AD";"Court";16,0382911392405;17,4067475009256;18,0128091086995;18,7810430463576;21,3181506849315;"Terrestre"
"PHYCOL";1996;"AD";"Court";6,37314935064935;6,77049180327866;7,61290322580644;7,76507887411072;8,52956896551726;"Terrestre"
"PRUMOD";1996;"AD";"Court";18,1071594968162;19,1137998691956;20,1515151515151;20,2898550724638;24,134328358209;"Terrestre"
"PYRULA";1996;"AD";"Court";22,0129411764706;22,8705882352942;23,8235294117648;24,5680147058824;25,2380514705882;"Terrestre"
"SYLATR";1996;"AD";"Court";15,0163907284768;16,0855172413793;16,9277235921973;18,0025337837837;19,91469949836;"Terrestre"
"TROTRO";1996;"AD";"Court";8,64705882352943;9;10;10,5686274509804;11,7137254901961;"Terrestre"
"TURMER";1996;"AD";"Court";72,3179270038167;85,5827082295817;89,9472656250001;93,7822265625001;99,3908770161291;"Terrestre"
"TURPHI";1996;"AD";"Court";65,6;66;66;67;69,3307692307692;"Terrestre"
"AEGCAU";1997;"AD";"Court";11;11;11;11;11;"Terrestre"
"ERIRUB";1997;"AD";"Court";16;16;16;16;16;"Terrestre"
"FRICOE";1997;"AD";"Court";20,3651435705369;21,0222222222222;22,0243902439024;22,1935483870968;22,9852084972463;"Terrestre"
"PHYCOL";1997;"AD";"Court";7,56272727272728;8,04545454545455;8,58181818181819;9,85694682675815;11,0045626072041;"Terrestre"
"PRUMOD";1997;"AD";"Court";17,5554577464789;18,9189189189189;19,0971406188797;19,8245745745745;20,5740740740741;"Terrestre"
