LONG;LAT;ID_PROG
2.356079;48.718032;1
2.444853;48.375566;2
2.504080;50.654057;3
1.2774;43.9301;4
-0.740562;49.327061;6
0.810708;48.509463;7
-0.371406;47.484315;8
3.429444;47.071111;9
1.63672222;47.77022222;10
1.402827;45.584491;11
7.561572;47.625994;12
7.514986;47.685699;13
6.50604167;48.98901111;14
4.334444;49.773428;15
1.19403056;46.71866944;16
6.332712;44.541004;17
4.204974;45.684822;18
2.30527778;51.03694444;19
1.615833;50.538306;20
1.917635;48.669256;21
6.184238;47.631086;22
7.97575;48.76168333;24
4.751378;43.536354;25
-2.290590;47.386797;27
2.679;48.615;28
1.600654;44.883988;29
4.801253;43.502289;31
-1.06198611;46.05366389;32
4.9585;44.7386;34
7.90633333;48.68719722;35
5.326584;46.927096;36
2.287773;46.382118;37
2.463681;48.537962;38
7.73214722;48.43829167;39
1.692700;46.830600;40
6.12146111;44.74613889;41
2.280625;50.780896;42
2.282513;50.785522;43
3.242500;50.393889;44
1.885122;50.8805;45
7.588751;48.14245;46
-1.070522;45.902255;47
3.83777778;43.53333333;48
-0.160212;48.085546;49
-000.146312;47.680948;50
0.268375;49.451532;51
0.362868;49.447032;52
0.323462;49.448888;53
0.420281;49.458063;54
3.277295;44.214696;55
-5.068327;48.465918;56
-2.249629;47.001072;57
-0.031965;49.143013;58
0.833295;47.42387;59
1.895;48.866;60
3.83329722;45.76296667;61
-1.732097;49.371613;62
-2.832620;48.093334;63
2.005;48.785;64
2.1935;48.7923;65
-1.052930;44.691020;66
5.1454955;43.7775923;67
5.902717;46.140659;68
1.961111;48.718889;69
 5.962139;45.815889;70
4.01042222;45.57395556;71
4.769206;47.033719;72
0.047593;47.180583;73
-1.412627;47.213358;74
-1.909045;47.257320;75
4.517233;48.385387;76
4.755;43.5366;77
1.64511667;50.87603056;78
4.368493;47.232446;79
9.42714;42.554245;80
2.512222;50.648056;82
6.054853;47.350564;83
5.714796;46.629951;84
5.805837;47.294537;85
8.128678;48.907142;86
7.546518;47.617029;87
-1.6764;47.1333;88
-1.6560;47.1220;89
5.562013;44.784772;90
0.720528;46.435617;91
0.950127;48.944139;92
9.426144;42.552956;93
5.442000;47.013000;94
-2.899568;47.592587;95
1.700935;50.3270;96
1.696643;50.327544 ;97
2.503798;51.073883;98
2.472607;48.683499;99
3.421496;47.225002;100
2.8;43.855;101
-0.95452778;45.77577778;102
1.41896;46.011487;104
-1.632641;46.456337;105
1.58531;50.438709;106
3.925249;45.442341;107
6.520074;48.075811;108
-2.473233;47.804514;109
8.133915;48.900865;110
1.590278;50.285556;111
-0.594354;44.904247;112
5.97463333;45.380975;114
-0.606164;44.514166;115
0.392429;46.637822;116
5.785278;44.930000;117
1.67186;43.37120;118
0.21787222;49.45480833;119
-1.33556;43.46188;120
 -0.786398;44.74456;121
-0.68827778;45.28627778;122
-2.44674444;47.31446389;123
0.466806;46.352569;124
0.033333;47.183334;125
-000.271157;48.377856;126
2.36205;48.844387;127
1.937362;48.854173;128
1.47658;49.78775;130
5.70033056;45.05738056;131
